id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_5418,Repair Café,NLD,Dutch,Headphones,Beats,Unknown,2014,Fixed,Repair Café 0040,2019-01-26,rechterkant geen geluid
repaircafe_5419,Repair Café,NLD,Dutch,Portable radio,Sony,Unknown,2014,Unknown,Repair Café 0040,2019-01-26,bij power on gaat display op standby. CD-speler is nu niet werkend
repaircafe_5420,Repair Café,NLD,Dutch,Decorative or safety lights,Rader,Unknown,????,Unknown,Repair Café 0040,2019-01-26,doet het niet meer
repaircafe_5421,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,1970,Fixed,Repair Café 0040,2019-01-26,schakelaar stuk?
repaircafe_5422,Repair Café,NLD,Dutch,Digital Compact Camera,Sony,Unknown,????,Repairable,Repair Café 0040,2019-01-26,raar geluid
repaircafe_5423,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,????,Fixed,Repair Café 0040,2019-01-26,voorverlichting defect 
repaircafe_5424,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,????,Fixed,Repair Café 0040,2019-01-26,achterlicht defect
repaircafe_5425,Repair Café,NLD,Dutch,Small kitchen item,Watshome,Unknown,????,Fixed,Repair Café 0040,2019-01-26,snoer defect
repaircafe_5426,Repair Café,NLD,Dutch,Hi-Fi separates,Philips ,Unknown,????,Fixed,Repair Café 0040,2019-01-26,doet het niet meer
repaircafe_5427,Repair Café,NLD,Dutch,Lamp,Sparta,Unknown,????,Fixed,Repair Café 0040,2019-01-26,achterlicht defect
repaircafe_5428,Repair Café,NLD,Dutch,Power tool,Graphite,Unknown,????,Repairable,Repair Café 0040,2019-01-26,momentbegrenzer veel te slap
repaircafe_5429,Repair Café,NLD,Dutch,Small kitchen item,Kenwood,Unknown,????,Unknown,Repair Café 0040,2019-01-26,kort na aanzetten stopt die.
repaircafe_5434,Repair Café,NLD,Dutch,Power tool,Black & Decker,Unknown,????,Fixed,Repair Café 0040,2019-01-26,klemt niet meer vast
