id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_134,Repair Café Toronto,CAN,Slide projector,Projector,26,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_135,Repair Café Toronto,CAN,Microwave,Large home electrical,17,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_136,Repair Café Toronto,CAN,CD player,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_137,Repair Café Toronto,CAN,Speakers,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_138,Repair Café Toronto,CAN,Cordless phone,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_139,Repair Café Toronto,CAN,Christmas lights,Decorative or safety lights,3,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_140,Repair Café Toronto,CAN,Shaver,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_142,Repair Café Toronto,CAN,Watch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_143,Repair Café Toronto,CAN,Microwave,Large home electrical,17,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_144,Repair Café Toronto,CAN,Radio,Portable radio,23,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_145,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_146,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_147,Repair Café Toronto,CAN,Watch,Watch/clock,35,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_148,Repair Café Toronto,CAN,Headphones,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_153,Repair Café Toronto,CAN,Steamer,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_149,Repair Café Toronto,CAN,Desktop monitor,Flat screen,8,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_150,Repair Café Toronto,CAN,Vacuum cleaner,Vacuum,34,Unknown,"","",Repairable,"",Repair Café Toronto,2020-02-22,""
rctoronto_151,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_154,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_155,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_156,Repair Café Toronto,CAN,Coffee grinder,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_157,Repair Café Toronto,CAN,Compressor,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_158,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_159,Repair Café Toronto,CAN,Kettle,Kettle,14,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
