id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_328,"Repair Café Denmark",DNK,"Husholdningsapparater ~ symaskine","Sewing machine",27,Huskvarna,,,Fixed,,"Repair Café Danmark",2022-01-25,
rcdenmark_330,"Repair Café Denmark",DNK,"AV-udstyr ~ Billedramme","Small home electrical",28,Samsung,,,Fixed,,"Repair Café Danmark",2022-01-26,
rcdenmark_335,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Robotstøvsuger",Vacuum,34,Neato,,,Unknown,,"Repair Café Danmark",2022-01-26,
rcdenmark_336,"Repair Café Denmark",DNK,"AV-udstyr ~ CD Plyer","Hi-Fi separates",13,Denver,,,Fixed,,"Repair Café Danmark",2022-01-26,
rcdenmark_337,"Repair Café Denmark",DNK,"AV-udstyr ~ DVD afspiller","TV and gaming-related accessories",33,Yamaha,,,Fixed,,"Repair Café Danmark",2022-01-26,
rcdenmark_339,"Repair Café Denmark",DNK,"AV-udstyr ~ forstærker","Hi-Fi separates",13,Unknown,,,Repairable,,"Repair Café Danmark",2022-01-26,
rcdenmark_340,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Løvsuger",Vacuum,34,Unknown,,,Repairable,,"Repair Café Danmark",2022-01-26,
rcdenmark_341,"Repair Café Denmark",DNK,"AV-udstyr ~ pladespiller","Hi-Fi separates",13,Unknown,,,Repairable,,"Repair Café Danmark",2022-01-26,
rcdenmark_342,"Repair Café Denmark",DNK,"Computere/tablets ~ printer",Printer/scanner,25,Unknown,,,Repairable,,"Repair Café Danmark",2022-01-26,
rcdenmark_343,"Repair Café Denmark",DNK,"Andet ~ el-klaver","Musical instrument",20,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-26,
rcdenmark_345,"Repair Café Denmark",DNK,"Legetøj ~ legetøjstog",Toy,32,Unknown,,,Unknown,,"Repair Café Danmark",2022-01-26,
rcdenmark_348,"Repair Café Denmark",DNK,"Lamper ~ halogenlampe",Lamp,15,Unknown,,,Unknown,,"Repair Café Danmark",2022-01-27,
rcdenmark_349,"Repair Café Denmark",DNK,"Husholdningsapparater ~ røremaskine","Food processor",37,Royal,,,Fixed,,"Repair Café Danmark",2022-01-27,
rcdenmark_350,"Repair Café Denmark",DNK,"AV-udstyr ~ Stavblender","Food processor",37,Bamix,,,Unknown,,"Repair Café Danmark",2022-01-27,
rcdenmark_352,"Repair Café Denmark",DNK,"Lamper ~ lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-27,
